ID,G+C content,Contig size,Number of hits,Maximum coverage,Median coverage,Average coverage,Variance of coverage,Best hit,Prediction
NODE_1_length_930554_cov_24.300244,57.67575014453755,930554,180,0.005636427332535243,0.00040620963426088116,0.000973547896080065,1.3785477206208283e-06,NZ_CP029232.1,Chromosome
NODE_2_length_849295_cov_21.039654,65.53258879423522,849295,91,0.00281292130531794,0.0003391047869114972,0.0007025607341163184,4.6260225645498253e-07,NZ_CP020899.1,Chromosome
NODE_3_length_585533_cov_49.318009,56.60090891546676,585533,71,0.016052041473324303,0.0007241265650270779,0.0016437413241139173,7.525740554248848e-06,NZ_CP029232.1,Chromosome
NODE_4_length_578223_cov_24.514871,57.92522953946834,578223,31,0.005293805331161161,0.00041333533947975087,0.0010362114449314203,1.5676279783194505e-06,NZ_CP020900.1,Chromosome
NODE_5_length_524800_cov_20.149629,65.52686737804878,524800,56,0.003088795731707317,0.001247141768292683,0.0013037279507839721,8.462103257016416e-07,NZ_CP029233.1,Chromosome
NODE_6_length_502908_cov_22.208331,65.20059334908174,502908,63,0.030383290780818757,0.001622563172588227,0.0026224620464521202,1.8699727518659382e-05,NZ_CP022191.1,Chromosome
NODE_7_length_493217_cov_24.353225,58.31814394069953,493217,70,0.00880545479981428,0.00025141063669743743,0.001033245580980148,3.6969832317628385e-06,NZ_CP020899.1,Chromosome
NODE_8_length_447273_cov_24.448580,57.26122524722038,447273,10,0.007606092923114071,0.0014074178410053814,0.002246279118122489,5.930808337153997e-06,NZ_CP020899.1,Chromosome
NODE_9_length_440490_cov_20.263306,66.00331449068084,440490,31,0.02847737746600377,0.001691298326863266,0.003665712450723864,4.0264686180335465e-05,NZ_CP022191.1,Chromosome
NODE_10_length_422428_cov_25.029299,57.76842444156164,422428,30,0.003834973060497884,0.001382484115636274,0.0011987841715037828,8.780323094232597e-07,NZ_CP031079.1,Chromosome
NODE_11_length_407730_cov_49.682301,61.20815245382974,407730,4,0.003970764967012484,0.0006499399112157555,0.0013740710764476491,2.2867096108487816e-06,NZ_CP029232.1,Chromosome
NODE_12_length_406758_cov_16.307682,61.686801488845944,406758,5,0.0010030534125942206,0.0001376739978070499,0.0003058329522713751,1.2173821658042508e-07,NZ_CP022703.1,Chromosome
NODE_13_length_397543_cov_7.907049,67.7740521151171,397543,29,0.0075362916715927585,0.0016174350950714765,0.0017452894056917026,2.4420651254447816e-06,NZ_CP020900.1,Chromosome
NODE_14_length_391133_cov_16.365042,61.46911664318787,391133,1,9.459697852137253e-05,9.459697852137253e-05,9.459697852137253e-05,0.0,NZ_CP020900.1,Chromosome
NODE_15_length_382726_cov_16.206553,61.207234418356734,382726,5,0.004271985702565282,0.004264147196689015,0.0035106054984505885,2.295000658664069e-06,NZ_CP020524.1,Chromosome
NODE_16_length_382227_cov_11.999236,63.88324215714746,382227,6,0.0049944143140071215,0.0031067925604418315,0.002665082965532698,2.4290783343170475e-06,NZ_CP020927.1,Chromosome
NODE_17_length_376550_cov_24.191641,57.13132386137299,376550,29,0.01784092418005577,0.0013703359447616518,0.001927298201914844,1.0635876239033321e-05,NZ_CP020900.1,Chromosome
NODE_18_length_347189_cov_20.301273,65.30477636100223,347189,12,0.005746149791612061,0.003027169639591116,0.0027744254570277282,2.7027651315926796e-06,NZ_CP029232.1,Chromosome
NODE_19_length_340856_cov_11.852679,64.24091111789143,340856,6,0.002892717159152252,0.0010752341164597366,0.0011236416551270918,8.467115833807981e-07,NZ_CP029232.1,Chromosome
NODE_20_length_335193_cov_124.165284,61.775454738016606,335193,3,0.0013872604738165773,0.0004504867345081789,0.0007408667046547312,2.0963041898762418e-07,NZ_CP029232.1,Chromosome
NODE_21_length_332632_cov_8.116508,69.57478534837297,332632,61,0.018467856369802065,0.0014791120517568966,0.0028867129883898674,1.4333505119154452e-05,NZ_CP031080.1,Chromosome
NODE_22_length_326705_cov_16.258332,61.45023798227759,326705,5,0.0021915795595414825,0.0017110237064017998,0.001624707304755054,1.4775274320871586e-07,NZ_CP022703.1,Chromosome
NODE_23_length_310724_cov_23.918679,58.08852872645821,310724,15,0.004801688958690027,0.0006758409392258082,0.0012570641469600032,2.287846744215418e-06,NZ_CP020900.1,Chromosome
NODE_24_length_307995_cov_15.934465,60.765596844104614,307995,1,0.00010714459650318998,0.00010714459650318998,0.00010714459650318998,0.0,NZ_CP029222.1,Chromosome
NODE_25_length_283681_cov_12.030159,62.93724288901971,283681,26,0.003655514468716622,0.0002679065570129829,0.0009207254193700237,1.3703917861227487e-06,NZ_CP020897.1,Chromosome
NODE_26_length_280432_cov_24.686215,57.30230501511953,280432,17,0.0036622068808124606,0.0005634164432019171,0.0011895512469836454,1.6494996145981432e-06,NZ_CP020899.1,Chromosome
NODE_27_length_279797_cov_24.853515,57.15500880995865,279797,17,0.006111573748110237,0.0006111573748110237,0.0016583451573819591,3.096970972862402e-06,NZ_CP020900.1,Chromosome
NODE_28_length_276063_cov_8.260239,68.98896266431937,276063,8,0.005306759688911589,0.0019796205938499545,0.0023980033543068067,5.0452770612819285e-06,NZ_CP022195.1,Chromosome
NODE_29_length_273127_cov_12.103782,63.08384011833323,273127,10,0.005059917181384484,0.004034753063593127,0.003656906860178598,2.448045299927408e-06,NZ_CP020900.1,Chromosome
NODE_30_length_269038_cov_43.397460,65.30378608226347,269038,62,0.026836357689248358,0.0039102282948877114,0.006126068292547234,4.746794733294911e-05,NZ_CP022192.1,Chromosome
NODE_31_length_259645_cov_7.972044,69.80646652159679,259645,31,0.013406766931772228,0.0031966723795952166,0.003932416407265752,6.428828720648691e-06,NZ_CP031079.1,Chromosome
NODE_32_length_254320_cov_12.245606,63.95486001887386,254320,7,0.0075298836111984905,0.00014548600188738598,0.0013110591830315015,6.485591572083933e-06,NZ_CP022194.1,Chromosome
NODE_33_length_251374_cov_20.318703,65.8087153007073,251374,25,0.010880202407568006,0.0009945340409111523,0.0022135940868984066,8.882710002769093e-06,NZ_CP031080.1,Chromosome
NODE_34_length_250343_cov_20.183600,65.55885325333642,250343,73,0.045829122444006824,0.0025924431679735403,0.0041469678942956025,3.6958570474565333e-05,NZ_CP031079.1,Chromosome
NODE_35_length_244242_cov_12.255214,63.54844785090197,244242,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_36_length_242166_cov_7.740565,69.42221451401105,242166,36,0.020585053227951074,0.002696497443902117,0.005897813896252983,3.906107486057003e-05,NZ_CP031080.1,Chromosome
NODE_37_length_232272_cov_24.173868,57.32761589860164,232272,39,0.019033719087965834,0.004714300475304815,0.005788196155524116,1.9854363367716738e-05,NZ_CP020899.1,Chromosome
