ID,G+C content,Contig size,Number of hits,Maximum coverage,Median coverage,Average coverage,Variance of coverage,Best hit,Prediction
NODE_1_length_530694_cov_41.986603,60.59122582882038,530694,24,0.003900552860970729,0.00042774178716925386,0.0009841672727912256,1.1507163500476558e-06,NZ_CP022703.1,Chromosome
NODE_2_length_505314_cov_41.160672,60.564718175233615,505314,17,0.005115631072956617,0.001680143435566796,0.001625780033335126,2.2539913234724605e-06,NZ_CP007745.1,Chromosome
NODE_3_length_494132_cov_7.817118,68.05974921680847,494132,44,0.006063157213052383,0.0008985453279690447,0.0012018319727595793,1.5311375329247874e-06,NZ_CP020900.1,Chromosome
NODE_4_length_493302_cov_7.904626,68.85295417411646,493302,53,0.0062476941103016,0.0015548284823495547,0.0017179189019883951,2.136253341494711e-06,NZ_CP031080.1,Chromosome
NODE_5_length_471431_cov_40.966074,60.20838680528009,471431,13,0.00501027721978402,0.0014487804153736179,0.0015365655109329157,1.6019339420948249e-06,NZ_CP029232.1,Chromosome
NODE_6_length_450293_cov_16.912537,34.84908714992238,450293,3,0.0009127390388036234,0.00039085662002296285,0.0005344668175313999,7.292667587051674e-08,NZ_CP034579.1,Chromosome
NODE_7_length_445352_cov_41.256009,60.549408108642155,445352,13,0.007192063805708743,0.001225996515116133,0.0021474802299857538,5.248562290334267e-06,NZ_CP022703.1,Chromosome
NODE_8_length_387447_cov_26.329547,55.86931890039154,387447,232,0.07596651929167086,0.0012427506213753107,0.0027855089056452037,5.806883528730647e-05,NZ_LZCZ01000002.1,Chromosome
NODE_9_length_337958_cov_41.438345,60.238846247166805,337958,10,0.00778794998195042,0.0019307132838991827,0.0026592061735481926,5.036747701900575e-06,NZ_CP022703.1,Chromosome
NODE_10_length_333779_cov_15.744088,69.77970453503666,333779,51,0.026619409849031845,0.0013661734261292652,0.002776758062705457,1.752650762613624e-05,NZ_CP022191.1,Chromosome
NODE_11_length_325433_cov_164.337703,70.20093229635593,325433,50,0.006118002783983186,0.00026272689002037285,0.0012550048704341602,3.18354818540074e-06,NZ_CP029232.1,Chromosome
NODE_12_length_322531_cov_40.509536,60.31420235574255,322531,9,0.005478543147790445,0.0025237884110364587,0.0029144485336293257,3.076565462869261e-06,NZ_CP029211.1,Chromosome
NODE_13_length_309677_cov_40.600384,60.10811264640254,309677,11,0.009451783632623669,0.0022378155303751975,0.0031255440052347797,1.0350784561169521e-05,NZ_CP014273.1,Chromosome
NODE_14_length_271805_cov_26.316066,58.46544397638012,271805,62,0.006361178050440573,0.0001986718419455124,0.0016036757851187195,5.855978655649609e-06,NZ_CP023479.1,Chromosome
NODE_15_length_268629_cov_16.123984,69.55578139366933,268629,26,0.006570400068495955,0.000802221651422594,0.0016420988970490328,3.1015161276703233e-06,NZ_CP020899.1,Chromosome
NODE_16_length_267645_cov_43.001491,60.459937603915634,267645,13,0.005903342113620654,0.0038147546189915746,0.003382494320116917,3.252300990806209e-06,NZ_CP031079.1,Chromosome
NODE_17_length_266398_cov_170.688762,70.33348598713204,266398,51,0.010747077680763368,0.0007319874773834638,0.0019451950781588924,5.610278991467497e-06,NZ_CP020900.1,Chromosome
NODE_18_length_263772_cov_7.899305,69.75001137345889,263772,30,0.013197003472696117,0.0036982697177865734,0.004026330821062634,6.946700087738089e-06,NZ_CP031079.1,Chromosome
NODE_19_length_260411_cov_40.830739,59.19027998049238,260411,10,0.006355338292161237,0.004565859353099524,0.0036450073153591824,6.6503391440266275e-06,NZ_CP020524.1,Chromosome
NODE_20_length_243039_cov_16.369086,35.586058204650286,243039,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_21_length_242906_cov_15.935710,71.20285213210049,242906,42,0.007332054374943393,0.0012741554346125661,0.0020234164656286794,4.089341183079566e-06,NZ_CP029211.1,Chromosome
NODE_22_length_242105_cov_17.587945,35.60479957043432,242105,0,0.0,0.0,0.0,0.0,NA,Chromosome
