ID,G+C content,Contig size,Number of hits,Maximum coverage,Median coverage,Average coverage,Variance of coverage,Best hit,Prediction
NODE_1_length_585536_cov_81.824761,56.60061892010056,585536,71,0.016051959230516995,0.0007241228549568259,0.00164382911855217,7.526192719946192e-06,NZ_CP029232.1,Chromosome
NODE_2_length_460254_cov_7.957712,58.040125669738885,460254,77,0.008071630012992825,0.0013775002498620328,0.0020744897552051863,4.2611369979577054e-06,NZ_CP020900.1,Chromosome
NODE_3_length_427725_cov_82.693607,61.25431059676194,427725,4,0.003785142322754106,0.0006195569583260272,0.001309836927932667,2.0779116667628512e-06,NZ_CP029232.1,Chromosome
NODE_4_length_382214_cov_7.802198,63.87913577210673,382214,6,0.004994584185822602,0.0031068982297875014,0.002665173611292801,2.4292435744985562e-06,NZ_CP020927.1,Chromosome
NODE_5_length_368224_cov_8.010650,61.17363344051447,368224,5,0.004440232032675763,0.004432084817936908,0.003648865907708351,2.4793313084846864e-06,NZ_CP020524.1,Chromosome
NODE_6_length_343365_cov_8.762224,64.2028162451036,343365,6,0.002871579805746072,0.0010673772807362428,0.001115431101014955,8.343827917403635e-07,NZ_CP029232.1,Chromosome
NODE_7_length_335990_cov_89.080760,61.757492782523286,335990,3,0.0013839697610047918,0.0004494181374445668,0.0007391092988878637,2.0863707225367352e-07,NZ_CP029232.1,Chromosome
NODE_8_length_331474_cov_7.945383,61.320646566548206,331474,1,0.00011162263103591835,0.00011162263103591835,0.00011162263103591835,0.0,NZ_CP020900.1,Chromosome
NODE_9_length_320700_cov_7.937395,57.34518241347053,320700,29,0.02094792641097599,0.0016089803554724042,0.002262937754696085,1.4662926552782655e-05,NZ_CP020900.1,Chromosome
NODE_10_length_310533_cov_8.114079,58.10203746461729,310533,17,0.004804642340749615,0.00034456885419585035,0.0011503939810507968,2.1077528940687816e-06,NZ_CP020900.1,Chromosome
NODE_11_length_305556_cov_8.036592,61.23198366256922,305556,2,0.0013352707850606764,0.0007429080103156213,0.0007429080103156213,3.5089365690366066e-07,NZ_CP022703.1,Chromosome
NODE_12_length_297105_cov_8.238199,65.7481361808115,297105,7,0.006714797798758015,0.0028979653657797747,0.003228295912700416,5.851427099278332e-06,NZ_CP029232.1,Chromosome
NODE_13_length_268961_cov_8.031494,64.3662092273601,268961,22,0.010730180212000997,0.004509947538862511,0.004692806087803876,8.61865280829379e-06,NZ_CP020899.1,Chromosome
NODE_14_length_254316_cov_8.096295,63.948394910269116,254316,7,0.007530002044700294,0.0001454882901587002,0.0013110798039784027,6.485795590472907e-06,NZ_CP022194.1,Chromosome
NODE_15_length_247734_cov_8.226499,57.66467259237731,247734,44,0.01436217878853932,0.0005711771496847425,0.0032993599439868422,1.7046863652088606e-05,NZ_CP020900.1,Chromosome
NODE_16_length_247598_cov_93.004811,65.40238612589762,247598,76,0.06424122973529674,0.004969749351771823,0.010362244657192621,0.0001617115982559003,NZ_CP022191.1,Chromosome
NODE_17_length_247326_cov_8.054859,63.38233748170431,247326,10,0.005587766753192143,0.004455657714918771,0.004038394669383728,2.9854456655087e-06,NZ_CP020900.1,Chromosome
NODE_18_length_244214_cov_8.018791,63.5442685513525,244214,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_19_length_233246_cov_8.395907,57.397768879209075,233246,13,0.007970125961431278,0.0028253431998833847,0.0033873117784524627,7.654509456815742e-06,NZ_LMVL02000009.1,Chromosome
NODE_20_length_232340_cov_7.955916,57.322888869759836,232340,40,0.019028148403202202,0.004697856589480933,0.00569198157872084,1.9724187748952533e-05,NZ_CP020899.1,Chromosome
