ID,G+C content,Contig size,Number of hits,Maximum coverage,Median coverage,Average coverage,Variance of coverage,Best hit,Prediction
NODE_1_length_730050_cov_8.006833,68.50612971714266,730050,75,0.006828299431545785,0.0008711732073145675,0.0013894756066936056,2.746679657235026e-06,NZ_CP031080.1,Chromosome
NODE_2_length_480846_cov_8.121726,68.81933092923722,480846,65,0.006394978849777268,0.0011251003439770738,0.001637818473146208,1.995123661956248e-06,NZ_CP031080.1,Chromosome
NODE_3_length_333778_cov_18.655058,69.77721719226552,333778,49,0.026619489600872435,0.0015429417157511878,0.0028607551811597617,1.806060868677138e-05,NZ_CP022191.1,Chromosome
NODE_4_length_267119_cov_7.943998,69.77639179541703,267119,30,0.01303164507204654,0.0036519304130368862,0.003975880912003015,6.773706476660715e-06,NZ_CP031079.1,Chromosome
NODE_5_length_222872_cov_7.885229,69.25051150436124,222872,7,0.006245737463656269,0.0011576151333500843,0.0024293252244722147,5.574386572465648e-06,NZ_CP031081.1,Chromosome
NODE_6_length_212396_cov_7.821052,69.90903783498747,212396,24,0.007744966948530104,0.00227640821861052,0.003368118985291625,8.046596877693244e-06,NZ_CP022193.1,Chromosome
NODE_7_length_186386_cov_8.164863,68.52499651261361,186386,19,0.009110126297039478,0.0012822851501722232,0.00254310946101102,7.151088069338957e-06,NZ_CP031081.1,Chromosome
NODE_8_length_169165_cov_7.901603,69.97132976679573,169165,48,0.03631365826264298,0.0019418910531138237,0.005544143292052138,6.660171947462463e-05,NZ_CP031080.1,Chromosome
NODE_9_length_157681_cov_8.118584,69.15544675642595,157681,15,0.011383743126946176,0.004826199732371053,0.005027872730386032,8.383378129091887e-06,NZ_CP029232.1,Chromosome
NODE_10_length_150988_cov_8.021811,70.1042466951016,150988,12,0.007503907595305588,0.0040036294275041726,0.0035841700444185407,6.887428823552579e-06,NZ_CP028969.1,Chromosome
NODE_11_length_146161_cov_8.093904,69.68001039949097,146161,11,0.013382502856439132,0.0096468962308687,0.007873633745104247,1.777850497843798e-05,NZ_CP031079.1,Chromosome
NODE_12_length_144981_cov_8.081649,68.7200391775474,144981,6,0.010104772349480276,0.0037694594464102193,0.004651184178156679,1.8897122721199585e-05,NZ_CP022195.1,Chromosome
NODE_13_length_142445_cov_8.292577,69.45136719435571,142445,27,0.06078837446031802,0.0037909368528203868,0.007165078659339602,0.00014654362345543638,NZ_CP031079.1,Chromosome
NODE_14_length_126566_cov_7.958130,68.34773951930218,126566,20,0.01643411342698671,0.005040848253085347,0.005509378506075881,1.8339814207010927e-05,NZ_CP022191.1,Chromosome
NODE_15_length_98293_cov_80.792209,70.11587803811055,98293,26,0.03319666710752546,0.006826528847425554,0.011003991989413127,9.007933836766255e-05,NZ_CP029232.1,Chromosome
NODE_16_length_92245_cov_8.027107,68.364681012521,92245,5,0.03740040110575099,0.0010081847254593745,0.011627730500298118,0.0002130144567693843,NZ_CP031082.1,Chromosome
NODE_17_length_73127_cov_163.327513,63.69056572811684,73127,2,0.015466243658293107,0.015021811369261695,0.015021811369261695,1.9752005953369972e-07,NZ_CP028919.1,Chromosome
NODE_18_length_73077_cov_7.982718,68.11992829481233,73077,1,0.0007115781983387386,0.0007115781983387386,0.0007115781983387386,0.0,NZ_CP008949.1,Chromosome
NODE_19_length_67598_cov_7.784819,70.25503713127607,67598,6,0.0134915234178526,0.0013240036687475962,0.004467587798455575,2.5904789577165797e-05,NZ_CP031079.1,Chromosome
NODE_20_length_66753_cov_82.439398,71.30466046469822,66753,11,0.050379758213114016,0.01268856830404626,0.016044222731562627,0.00021121086873497838,NZ_CP022191.1,Chromosome
NODE_21_length_54874_cov_8.129189,69.53566352006415,54874,1,0.022086962860371033,0.022086962860371033,0.022086962860371033,0.0,NZ_CP020900.1,Chromosome
NODE_22_length_51125_cov_7.350382,69.47090464547678,51125,5,0.06319804400977995,0.019070904645476772,0.028584841075794624,0.0005059153840543756,NZ_CP022192.1,Chromosome
NODE_23_length_49861_cov_7.792896,68.60873227572652,49861,3,0.018812298188965324,0.0007821744449569804,0.0067922156929597615,7.224119160538965e-05,NZ_CP031079.1,Chromosome
NODE_24_length_37143_cov_327.513859,62.97014242252914,37143,9,0.03273833562178607,0.008211506878819696,0.01002132897779453,7.657951319758588e-05,NZ_CP028474.1,Chromosome
NODE_25_length_31729_cov_89.376523,66.10356456238772,31729,2,0.004696019414415834,0.004664502505594251,0.004664502505594251,9.933155416679624e-10,NZ_CP031079.1,Chromosome
NODE_26_length_28146_cov_8.317183,67.38080011369289,28146,2,0.056242450081716765,0.02908050877566972,0.02908050877566972,0.0007377710555131444,NZ_CP031079.1,Chromosome
