ID,G+C content,Contig size,Number of hits,Maximum coverage,Median coverage,Average coverage,Variance of coverage,Best hit,Prediction
NODE_1_length_111763_cov_62.554777,48.76837593836959,111763,158,0.19766828020006622,0.014427851793527374,0.028794316907262058,0.0013950623097342962,NZ_CP016161.1,Chromosome
NODE_2_length_107210_cov_17.622211,58.413394272922304,107210,57,0.009570002798246432,0.00039175450051301186,0.0005706131759769726,1.4552971413763314e-06,NZ_LT991956.1,Chromosome
NODE_3_length_99024_cov_41.494387,55.42696719987074,99024,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_4_length_85557_cov_5.894751,64.33722547541406,85557,2,0.016188038383767547,0.009368023656743458,0.009368023656743458,4.651260087682546e-05,NZ_CP031081.1,Chromosome
NODE_5_length_80510_cov_42.990852,48.46975530989939,80510,13,0.0007700906719662154,0.0007079865855173271,0.0007041647955820108,1.40948655688453e-09,NZ_CP020512.1,Chromosome
NODE_6_length_78277_cov_9.182468,68.19883235177639,78277,17,0.044380852613155844,0.0013797156252794564,0.009528003492874852,0.0001748342660288664,NZ_CP031080.1,Chromosome
NODE_7_length_66153_cov_7.329087,66.27817332547276,66153,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_8_length_62518_cov_26.687607,61.44470392526952,62518,23,0.05857513036245561,0.022297578297450334,0.0216897533510349,0.0001579535885881925,NZ_CP031081.1,Chromosome
NODE_9_length_59327_cov_9.570691,68.5000084278659,59327,20,0.048409661705462945,0.011343907495743927,0.01742376995297251,0.00026396911001664257,NZ_CP022192.1,Chromosome
NODE_10_length_58217_cov_16.696709,58.40562035144374,58217,22,0.009825308758610029,0.0009962725664324854,0.00340887619517573,1.2505957460711717e-05,NZ_MAOO01000003.1,Chromosome
NODE_11_length_57421_cov_30.815361,65.01105867191445,57421,22,0.10948955956879887,0.017362985667264588,0.02644186241650584,0.0007737991788338331,NZ_CP031081.1,Chromosome
NODE_12_length_53009_cov_37.819390,51.03284347940916,53009,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_13_length_49423_cov_11.340301,50.19322987273132,49423,1,0.005483277016773567,0.005483277016773567,0.005483277016773567,0.0,NZ_NIDM01000065.1,Chromosome
NODE_14_length_48386_cov_29.749498,39.28615715289546,48386,17,0.009775554912578019,0.004402099780928368,0.005202039481522366,1.3813588712576963e-05,NZ_CP034094.1,Chromosome
NODE_15_length_47753_cov_18.715627,55.506460327099866,47753,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_16_length_44491_cov_142.098051,59.371558292688405,44491,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_17_length_44338_cov_8.688278,69.22053317695881,44338,5,0.06482024448554287,0.027515900581893637,0.03433172448012991,0.0004581773699853813,NZ_CP031082.1,Chromosome
NODE_18_length_44185_cov_118.685067,62.16589340273848,44185,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_19_length_41143_cov_28.738172,39.25333592591692,41143,1,0.0009479133753007802,0.0009479133753007802,0.0009479133753007802,0.0,NZ_CP020899.1,Chromosome
NODE_20_length_39577_cov_220.528415,63.918437476312,39577,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_21_length_38408_cov_24.431127,58.219641741303896,38408,55,0.026999583420120807,0.0008331597583836701,0.0026590104334324287,3.680146662412187e-05,NZ_CP027855.1,Chromosome
NODE_22_length_36778_cov_24.432318,60.63951275218881,36778,2,0.0008700853771276306,0.0008700853771276306,0.0008700853771276306,0.0,NZ_CP020527.1,Chromosome
NODE_23_length_36260_cov_22.071758,38.34528405956977,36260,0,0.0,0.0,0.0,0.0,NA,Chromosome
NODE_24_length_35751_cov_40.175202,54.7173505636206,35751,45,0.004055830606136891,0.0014824760146569327,0.0022314838124186114,1.2901408132606071e-06,NZ_CP028177.1,Chromosome
NODE_25_length_34980_cov_25.212198,53.06174957118353,34980,461,0.18176100628930816,0.04594053744997141,0.0500463233406384,0.0019085385974493892,NZ_CP020508.1,Chromosome
NODE_26_length_34885_cov_9.299483,55.88935072380679,34885,15,0.05343270746739286,0.012899527017342698,0.01570111318140557,0.00025206748726710473,NZ_CP031079.1,Chromosome
NODE_27_length_34003_cov_42.607635,68.3263241478693,34003,1,0.015233949945593036,0.015233949945593036,0.015233949945593036,0.0,NZ_CP029051.1,Chromosome
